,Bal,Brick,Dist,District,Floor,Kitsp,Livesp,Metrdist,New,Nfloors,Price,Totsp,Walk,lat,lon,rooms
6185,1,,18640.088817866563,8,1,–,–,5,1,8,3964464,38.6,0.0,55.632071,37.416352,1
6186,1,,18640.088817866563,8,1,–,–,5,1,7,3974724,38.7,0.0,55.632071,37.416352,1
6187,1,,18640.088817866563,8,2,–,–,5,1,4,4046974,38.7,0.0,55.632071,37.416352,1
6188,1,1.0,16229.83657739851,8,5,10,25.3,22,1,7,12374227,53,1.0,55.813503,37.379262,1
6189,1,1.0,11522.432141483006,8,1,37,285,15,0,1,95604600,366,1.0,55.720798,37.444099,
6190,1,1.0,3254.0411453889405,8,6,8,30,9,0,1,20000000,52,1.0,55.749142,37.566764,2
6191,0,,21333.821218180416,8,3,–,15,26,0,3,1399222,15.2,0.0,55.646289,37.337639,1
6192,0,1.0,20866.771082872798,8,3,5,10.3,15,1,3,1399333,15.3,0.0,55.651236,37.340662,1
6193,0,1.0,20866.771082872798,8,1,–,20,17,1,3,1599111,20.1,0.0,55.651236,37.340662,1
6194,0,1.0,20989.368212358444,8,1,5,15.4,23,0,3,1599444,20.4,0.0,55.650643,37.339014,1
6195,0,1.0,19797.827352347384,8,3,6,32.1,15,0,3,2999111,38.1,0.0,55.655473,37.356154,2
6196,1,0.0,18640.088817866563,8,1,8.8,15.1,10,1,1,3563700,33.9,0.0,55.632071,37.416352,1
6197,1,0.0,18640.088817866563,8,1,8.8,15.1,10,1,6,3574200,34.0,0.0,55.632071,37.416352,1
6198,1,0.0,31569.335632102007,8,7,9,21,25,0,1,3600000,37,0.0,55.60517,37.190388,1
6199,1,,18640.088817866563,8,2,–,–,5,1,2,3676596,38.1,0.0,55.632071,37.416352,1
6200,1,,18640.088817866563,8,2,–,–,5,1,2,3687222,38.2,0.0,55.632071,37.416352,1
6201,1,,18640.088817866563,8,3,–,–,5,1,2,3756660,38.1,0.0,55.632071,37.416352,1
6202,1,,18640.088817866563,8,2,–,–,5,1,1,3807932,38.6,0.0,55.632071,37.416352,1
6203,1,,18640.088817866563,8,7,–,–,5,1,2,3820656,38.4,0.0,55.632071,37.416352,1
6204,1,0.0,18640.088817866563,8,3,10.6,14.4,10,1,2,3828836,38.1,0.0,55.632071,37.416352,1
6205,1,0.0,18640.088817866563,8,3,10.6,14.4,10,1,2,3841914,38.2,0.0,55.632071,37.416352,1
6206,1,,18640.088817866563,8,5,–,–,5,1,2,3844932,38.2,0.0,55.632071,37.416352,1
6207,1,,18640.088817866563,8,5,–,–,5,1,2,3857004,38.3,0.0,55.632071,37.416352,1
6208,1,0.0,18640.088817866563,8,6,10.6,14.4,10,1,2,3885184,38.2,0.0,55.632071,37.416352,1
6209,1,0.0,18640.088817866563,8,1,10.6,14.4,10,1,9,3885172,38.6,0.0,55.632071,37.416352,1
6210,1,0.0,25103.713362924515,8,9,10,21,15,0,1,3890000,37,0.0,55.614633,37.304626,1
6211,1,0.0,18640.088817866563,8,1,10.6,14.5,10,1,1,3951126,38.5,0.0,55.632071,37.416352,1
6212,1,0.0,18640.088817866563,8,1,10.6,14.5,10,1,5,3959334,38.6,0.0,55.632071,37.416352,1
6213,1,,18640.088817866563,8,1,–,–,5,1,8,3964464,38.6,0.0,55.632071,37.416352,1
6214,1,,18640.088817866563,8,1,–,–,5,1,7,3974724,38.7,0.0,55.632071,37.416352,1
6215,1,,18640.088817866563,8,2,–,–,5,1,4,4046974,38.7,0.0,55.632071,37.416352,1
6216,1,1.0,9616.827971145465,8,2,–,250,19,0,5,145318992,305,1.0,55.719313,37.478019,
6217,1,1.0,8416.85754585673,8,4,32,180,,0,5,254945600,285,,55.718872,37.499893,3
6218,1,0.0,7994.82959683055,8,2,10,45,6,0,2,37690000,78,1.0,55.745022,37.491126,3
6219,0,,21333.821218180416,8,3,–,15,26,0,3,1399222,15.2,0.0,55.646289,37.337639,1
6220,0,1.0,20866.771082872798,8,3,5,10.3,15,1,3,1399333,15.3,0.0,55.651236,37.340662,1
6221,0,1.0,20866.771082872798,8,1,–,20,17,1,3,1599111,20.1,0.0,55.651236,37.340662,1
6222,0,1.0,20989.368212358444,8,1,5,15.4,23,0,3,1599444,20.4,0.0,55.650643,37.339014,1
6223,0,1.0,19797.827352347384,8,3,6,32.1,15,0,3,2999111,38.1,0.0,55.655473,37.356154,2
6224,1,0.0,18640.088817866563,8,1,8.8,15.1,10,1,1,3563700,33.9,0.0,55.632071,37.416352,1
6225,1,0.0,18640.088817866563,8,1,8.8,15.1,10,1,6,3574200,34.0,0.0,55.632071,37.416352,1
6226,1,0.0,31569.335632102007,8,7,9,21,25,0,1,3600000,37,0.0,55.60517,37.190388,1
6227,1,,18640.088817866563,8,2,–,–,5,1,2,3676596,38.1,0.0,55.632071,37.416352,1
6228,1,,18640.088817866563,8,2,–,–,5,1,2,3687222,38.2,0.0,55.632071,37.416352,1
6229,1,,18640.088817866563,8,3,–,–,5,1,2,3756660,38.1,0.0,55.632071,37.416352,1
6230,1,,18640.088817866563,8,2,–,–,5,1,1,3807932,38.6,0.0,55.632071,37.416352,1
6231,1,,18640.088817866563,8,7,–,–,5,1,2,3820656,38.4,0.0,55.632071,37.416352,1
6232,1,0.0,18640.088817866563,8,3,10.6,14.4,10,1,2,3828836,38.1,0.0,55.632071,37.416352,1
6233,1,0.0,18640.088817866563,8,3,10.6,14.4,10,1,2,3841914,38.2,0.0,55.632071,37.416352,1
6234,1,,18640.088817866563,8,5,–,–,5,1,2,3844932,38.2,0.0,55.632071,37.416352,1
6235,1,,18640.088817866563,8,5,–,–,5,1,2,3857004,38.3,0.0,55.632071,37.416352,1
6236,1,0.0,18640.088817866563,8,6,10.6,14.4,10,1,2,3885184,38.2,0.0,55.632071,37.416352,1
6237,1,0.0,18640.088817866563,8,1,10.6,14.4,10,1,9,3885172,38.6,0.0,55.632071,37.416352,1
6238,1,0.0,25103.713362924515,8,9,10,21,15,0,1,3890000,37,0.0,55.614633,37.304626,1
6239,1,0.0,18640.088817866563,8,1,10.6,14.5,10,1,1,3951126,38.5,0.0,55.632071,37.416352,1
6240,1,0.0,18640.088817866563,8,1,10.6,14.5,10,1,5,3959334,38.6,0.0,55.632071,37.416352,1
6241,1,,18640.088817866563,8,1,–,–,5,1,8,3964464,38.6,0.0,55.632071,37.416352,1
6242,1,,18640.088817866563,8,1,–,–,5,1,7,3974724,38.7,0.0,55.632071,37.416352,1
6243,1,,18640.088817866563,8,2,–,–,5,1,4,4046974,38.7,0.0,55.632071,37.416352,1
6244,1,1.0,3187.4184148706104,8,4,8,30,7,0,9,12500000,44,1.0,55.749066,37.567887,2
6245,0,0.0,14028.175980341319,8,1,8.5,15.3,20,1,4,6344800,36.1,0.0,55.675798,37.443973,1
6246,1,1.0,16030.856514696881,8,6,–,–,15,0,8,26820500,78.6,1.0,55.810526,37.380489,2
6247,0,,21333.821218180416,8,3,–,15,26,0,3,1399222,15.2,0.0,55.646289,37.337639,1
6248,0,1.0,20866.771082872798,8,3,5,10.3,15,1,3,1399333,15.3,0.0,55.651236,37.340662,1
6249,0,1.0,20866.771082872798,8,1,–,20,17,1,3,1599111,20.1,0.0,55.651236,37.340662,1
6250,0,1.0,20989.368212358444,8,1,5,15.4,23,0,3,1599444,20.4,0.0,55.650643,37.339014,1
6251,0,1.0,19797.827352347384,8,3,6,32.1,15,0,3,2999111,38.1,0.0,55.655473,37.356154,2
6252,1,0.0,18640.088817866563,8,1,8.8,15.1,10,1,1,3563700,33.9,0.0,55.632071,37.416352,1
6253,1,0.0,18640.088817866563,8,1,8.8,15.1,10,1,6,3574200,34.0,0.0,55.632071,37.416352,1
